Age,M,F,Total
0-4,61184852,55596970,116781822
9-May,62910580,57039427,119950007
14-Oct,66812183,60172728,126984911
15-19,66525043,59164382,125689425
20-24,64478247,57319089,121797336
25-29,61604481,55079640,116684121
30-34,58243202,52817775,111060977
35-39,52838830,48499876,101338706
40-44,45523908,42635961,88159869
45-49,39881404,37840217,77721621
50-54,34484803,32947978,67432781
55-59,29500956,28445217,57946173
60-64,24129236,23591764,47721000
65-69,18287177,18288098,36575275
70-74,10982591,11861814,22844405
75-79,6861862,7794418,14656280
80-84,3746644,4538052,8284696
85-89,1554275,1903736,3458011
90-94,461093,576998,1038091
95-99,102398,145066,247464
100+,15806,28978,44784
,,,1366417755
