S.No.,State/UT,Total Population of other
1,Andaman & Nicobar Islands,47
2,Andhra Pradesh,43769
3,Arunachal Pradesh,495
4,Assam,11374
5,Bihar,40827
6,Chandigarh,142
7,Chhattisgarh,6591
8,Dadra & Nagar Haveli,43
9,Daman & Diu,59
10,Goa,398
11,Gujarat,11544
12,Haryana,8422
13,Himachal Pradesh,2051
14,Jammu & Kashmir,4137
15,Jharkhand,13463
16,Karnataka,20266
17,Kerala,3902
18,Lakshadweep,2
19,Madhya Pradesh,29597
20,Maharashtra,40891
21,Manipur,1343
22,Meghalaya,627
23,Mizoram,166
24,Nagaland,398
25,NCT of Delhi,4213
26,Odisha,20332
27,Puducherry,252
28,Punjab,10243
29,Rajasthan,16517
30,Sikkim,126
31,Tamil Nadu,22364
32,Tripura,833
33,Uttar Pradesh,137465
34,Uttarakhand,4555
35,West Bengal,30349
Total,Total,487803
,,
